dataset,config,n_runs,mean_acc,std_acc,mean_bd,std_bd
heartDisease,demes_10_mr2_freq25,30,0.8058,0.0456,0.3092,0.0504
heartDisease,demes_10_mr2_freq5,30,0.8107,0.0517,0.3208,0.0933
heartDisease,demes_10_mr5_freq1,30,0.8213,0.0373,0.2007,0.0895
heartDisease,demes_10_mr5_freq10,30,0.8084,0.0428,0.2867,0.0508
heartDisease,demes_10_mr5_freq25,30,0.796,0.0377,0.2854,0.0579
heartDisease,demes_10_mr5_freq5,30,0.82,0.0423,0.2873,0.0766
heartDisease,demes_15_mr10_freq1,30,0.8164,0.038,0.1958,0.0749
heartDisease,demes_15_mr10_freq10,30,0.8009,0.0364,0.2787,0.0532
heartDisease,demes_15_mr10_freq25,30,0.7902,0.0454,0.2545,0.0508
heartDisease,demes_15_mr10_freq5,30,0.8107,0.0547,0.2739,0.0678
heartDisease,demes_15_mr15_freq1,30,0.8084,0.0419,0.1329,0.0763
heartDisease,demes_15_mr15_freq10,30,0.8084,0.0393,0.2159,0.0635
heartDisease,demes_15_mr15_freq25,30,0.7867,0.0451,0.2127,0.0428
heartDisease,demes_15_mr15_freq5,30,0.8111,0.0329,0.2086,0.0712
heartDisease,demes_15_mr2_freq1,30,0.824,0.0345,0.2337,0.0956
heartDisease,demes_15_mr2_freq10,30,0.8089,0.0353,0.3214,0.0605
heartDisease,demes_15_mr2_freq25,30,0.7991,0.0466,0.3112,0.0521
heartDisease,demes_15_mr2_freq5,30,0.8173,0.0426,0.2967,0.0714
heartDisease,demes_15_mr5_freq1,30,0.8222,0.0393,0.2047,0.0938
heartDisease,demes_15_mr5_freq10,30,0.8102,0.0357,0.2908,0.0625
heartDisease,demes_15_mr5_freq25,30,0.7973,0.0452,0.2765,0.053
heartDisease,demes_15_mr5_freq5,30,0.8253,0.0314,0.2865,0.0635
heartDisease,demes_5_mr10_freq1,30,0.8209,0.0432,0.1633,0.058
heartDisease,demes_5_mr10_freq10,30,0.8129,0.0428,0.211,0.08
heartDisease,demes_5_mr10_freq25,30,0.812,0.0449,0.2217,0.0531
heartDisease,demes_5_mr10_freq5,30,0.8227,0.048,0.2124,0.0964
heartDisease,demes_5_mr15_freq1,30,0.8249,0.0397,0.1173,0.0575
heartDisease,demes_5_mr15_freq10,30,0.824,0.0347,0.1891,0.0808
heartDisease,demes_5_mr15_freq25,30,0.8076,0.0411,0.1762,0.0619
heartDisease,demes_5_mr15_freq5,30,0.8236,0.0452,0.161,0.0809
heartDisease,demes_5_mr2_freq1,30,0.8227,0.0336,0.2259,0.093
heartDisease,demes_5_mr2_freq10,30,0.8169,0.0375,0.277,0.1058
heartDisease,demes_5_mr2_freq25,30,0.8102,0.0472,0.2802,0.0562
heartDisease,demes_5_mr2_freq5,30,0.8204,0.0397,0.2647,0.1134
heartDisease,demes_5_mr5_freq1,30,0.8204,0.0361,0.2091,0.0869
heartDisease,demes_5_mr5_freq10,30,0.8084,0.0484,0.2576,0.1025
heartDisease,demes_5_mr5_freq25,30,0.8178,0.0403,0.2517,0.0687
heartDisease,demes_5_mr5_freq5,30,0.8031,0.0442,0.2371,0.1049
heartDisease,tournament,30,0.8182,0.0345,0.2192,0.0876
